id,name,category,shortDesc,longDesc,imageUrl,websiteUrl,address,facebookUrl,instagramUrl,twitterUrl
1,里山オーガニックファーム,農家,無農薬・無化学肥料で育てた季節の野菜。,茨城の里山で、土作りからこだわった野菜を育てています。今回は採れたての人参と、甘みたっぷりのほうれん草をお持ちします。農薬を使わないので、皮まで安心して食べていただけます。,https://picsum.photos/seed/1/600/400,https://satoyamaorganicfarm.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/satoyamaorganicfarm,https://instagram.com/satoyamaorganicfarm,https://twitter.com/satoyamaorganicfarm
2,森のパン屋,飲食,天然酵母と国産小麦のハードパン。,自家製酵母を使い、長時間発酵させた味わい深いパンです。噛めば噛むほど小麦の香りが広がり、イベント限定の「くるみとイチジクのパン」をぜひお試しください。,https://picsum.photos/seed/2/600/400,https://morinobakery.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/morinobakery,https://instagram.com/morinobakery,https://twitter.com/morinobakery
3,Woody Crafts,クラフト,地元の木材を使った手彫りのカトラリー。,間伐材を利用して、スプーンやフォークを作っています。一つ一つ木目が違うので、ぜひ手に取ってお気に入りを見つけてください。オイル仕上げで経年変化も楽しめます。,https://picsum.photos/seed/3/600/400,https://woodycrafts.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/woodycrafts,https://instagram.com/woodycrafts,https://twitter.com/woodycrafts
4,青空カフェ Stand,カフェ,ハンドドリップコーヒーと焼き菓子。,注文を受けてから豆を挽き、丁寧にドリップします。おすすめは深煎りのヘルシーブレンド。手作りのスコーンとの相性が抜群です。,https://picsum.photos/seed/4/600/400,https://aozoracafestand.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/aozoracafestand,https://instagram.com/aozoracafestand,https://twitter.com/aozoracafestand
5,ハーブガーデン彩,農家,フレッシュハーブとハーブティー。,朝摘みのミントやバジル、カモミールなど。リラックス効果のあるオリジナルブレンドティーもご用意しています。家庭菜園用の苗もお持ちします。,https://picsum.photos/seed/5/600/400,https://herbgardenaya.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/herbgardenaya,https://instagram.com/herbgardenaya,https://twitter.com/herbgardenaya
6,おにぎり屋 結,飲食,特別栽培米コシヒカリの手作りおにぎり。,冷めても美味しいお米を、ふんわりと握りました。具材は自家製の梅干しや、地元野菜のきんぴらなど。心ほぐれる優しい味です。,https://picsum.photos/seed/6/600/400,https://onigiriyayui.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/onigiriyayui,https://instagram.com/onigiriyayui,https://twitter.com/onigiriyayui
7,Ceramic Studio 宙,クラフト,日常に溶け込むシンプルな陶器。,使いやすさを重視した、シンプルで温かみのある器を作っています。毎日の食卓が少し楽しくなるようなマグカップやお皿を並べます。,https://picsum.photos/seed/7/600/400,https://ceramicstudiosora.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/ceramicstudio_sora,https://instagram.com/ceramicstudio_sora,https://twitter.com/ceramicstudio_sora
8,Vegan Sweets Coco,カフェ,卵・乳製品不使用の焼き菓子。,植物性素材だけで作ったクッキーやマフィン。アレルギーをお持ちの方や、ヴィーガンの方も安心してお召し上がりいただけます。優しい甘さが特徴です。,https://picsum.photos/seed/8/600/400,https://vegansweetscoco.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/vegansweetscoco,https://instagram.com/vegansweetscoco,https://twitter.com/vegansweetscoco
9,みつばちファーム,農家,非加熱・無添加の生はちみつ。,季節ごとに味が変わる、百花蜜です。加熱処理をしていないので、酵素やビタミンが生きています。試食もご用意していますので、違いを感じてください。,https://picsum.photos/seed/9/600/400,https://honeyfarm.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/honeyfarm,https://instagram.com/honeyfarm,https://twitter.com/honeyfarm
10,Spice Curry ROU,飲食,地元野菜たっぷりのスパイスカレー。,小麦粉不使用のグルテンフリーカレー。10種類以上のスパイスをブレンドし、野菜の甘みを引き出しました。辛さ控えめでお子様でも食べられます。,https://picsum.photos/seed/10/600/400,https://spicecurryrou.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/spicecurryrou,https://instagram.com/spicecurryrou,https://twitter.com/spicecurryrou
11,キャンドル工房 灯,クラフト,ソイワックスと精油のアロマキャンドル。,大豆由来のワックスを使用した、煤が出にくいキャンドルです。ラベンダーやベルガモットなど、天然精油の優しい香りで癒やしの時間をお届けします。,https://picsum.photos/seed/11/600/400,https://candlestudioakari.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/candlestudioakari,https://instagram.com/candlestudioakari,https://twitter.com/candlestudioakari
12,Coffee Roaster 豆蔵,カフェ,自家焙煎コーヒー豆の販売と試飲。,世界各地から厳選した豆を、直火焙煎で仕上げています。酸味のある浅煎りから、コクのある深煎りまで。お好みに合わせて挽き売りも可能です。,https://picsum.photos/seed/12/600/400,https://coffeeroastermamezo.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/coffeeroastermamezo,https://instagram.com/coffeeroastermamezo,https://twitter.com/coffeeroastermamezo
13,ベジタブルファーム太陽,農家,彩り豊かな西洋野菜とトマト。,イタリア野菜や珍しい色のトマトなど、スーパーでは見かけない野菜を育てています。サラダが華やかになる野菜セットがおすすめです。,https://picsum.photos/seed/13/600/400,https://vegetablefarmtaiyo.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/vegetablefarmtaiyo,https://instagram.com/vegetablefarmtaiyo,https://twitter.com/vegetablefarmtaiyo
14,Soup Kitchen ほっこり,飲食,季節野菜のポタージュとスープ。,素材の味をそのまま生かした、添加物不使用のスープです。今の時期は「バターナッツかぼちゃのポタージュ」が一番人気。パンと一緒にどうぞ。,https://picsum.photos/seed/14/600/400,https://soupkitchenhokkori.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/soupkitchenhokkori,https://instagram.com/soupkitchenhokkori,https://twitter.com/soupkitchenhokkori
15,Leather Works N,クラフト,手縫いの革小物とバッグ。,植物タンニン鞣しのヌメ革を使用し、一針一針手縫いで仕上げています。使い込むほどに飴色に変化し、自分だけの味わいが出てきます。,https://picsum.photos/seed/15/600/400,https://leatherworks_n.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/leatherworks_n,https://instagram.com/leatherworks_n,https://twitter.com/leatherworks_n
16,Organic Tea House,カフェ,国産茶葉の和紅茶とチャイ。,農薬不使用で育てた日本の茶葉で作った紅茶です。渋みが少なく、自然な甘みがあります。スパイスたっぷりの自家製チャイも温まります。,https://picsum.photos/seed/16/600/400,https://organicteahouse.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/organicteahouse,https://instagram.com/organicteahouse,https://twitter.com/organicteahouse
17,平飼い卵の小林農場,農家,平飼い有精卵とプリン。,のびのびと走り回って育った鶏の卵は、黄身がレモン色で自然な味わい。その卵をたっぷり使った濃厚プリンは絶品です。,https://picsum.photos/seed/17/600/400,https://kobayashifarm.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/kobayashifarm,https://instagram.com/kobayashifarm,https://twitter.com/kobayashifarm
18,Taco Rice Wagon,飲食,大豆ミートのタコライス。,お肉の代わりに大豆ミートを使用したヘルシーなタコライス。特製サルサソースとアボカド、たっぷりのレタスで満足感がありますが、胃もたれしません。,https://picsum.photos/seed/18/600/400,https://tacoricewagon.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/tacoricewagon,https://instagram.com/tacoricewagon,https://twitter.com/tacoricewagon
19,Glass Art 雫,クラフト,吹きガラスのグラスと花瓶。,再生ガラスを使用した、涼し気なガラス作品。光に当たるとキラキラと輝き、食卓を明るくしてくれます。一点物の歪みも味としてお楽しみください。,https://picsum.photos/seed/19/600/400,https://glassartshizuku.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/glassartshizuku,https://instagram.com/glassartshizuku,https://twitter.com/glassartshizuku
20,スムージー stand FRUITS,カフェ,地元果物のフレッシュスムージー。,市場に出せない規格外の果物を積極的に使用しています。砂糖不使用、果物本来の甘さだけで作った「飲む美容液」です。,https://picsum.photos/seed/20/600/400,https://smoothiestandfruits.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/smoothiestandfruits,https://instagram.com/smoothiestandfruits,https://twitter.com/smoothiestandfruits
21,きのこファーム里山,農家,原木しいたけと乾燥きのこ。,森の中で原木栽培したしいたけは、肉厚で香りが別格です。出汁がよく出る乾燥しいたけや、きくらげも販売します。,https://picsum.photos/seed/21/600/400,https://kinokofarmsatoyama.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/kinokofarmsatoyama,https://instagram.com/kinokofarmsatoyama,https://twitter.com/kinokofarmsatoyama
22,Banh Mi Tokyo,飲食,自家製ハムのバインミー。,米粉入りの軽いフランスパンに、なますと自家製ハム、パクチーを挟んだベトナムサンドイッチ。アジアンテイストなランチにぴったりです。,https://picsum.photos/seed/22/600/400,https://banhmitokyo.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/banhmitokyo,https://instagram.com/banhmitokyo,https://twitter.com/banhmitokyo
23,Accessory Luna,クラフト,天然石と真鍮のアクセサリー。,自然のままの形の天然石と、真鍮を組み合わせたアクセサリー。シンプルながら存在感があり、普段使いにもフォーマルにも合います。,https://picsum.photos/seed/23/600/400,https://accessoryluna.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/accessoryluna,https://instagram.com/accessoryluna,https://twitter.com/accessoryluna
24,Chocolatier Kaori,カフェ,ローチョコレートとカカオドリンク。,カカオ豆を低温処理して作るローチョコレート。栄養素が壊れず、カカオ本来のフルーティーな酸味が楽しめます。乳製品不使用。,https://picsum.photos/seed/24/600/400,https://chocolatierkaori.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/chocolatierkaori,https://instagram.com/chocolatierkaori,https://twitter.com/chocolatierkaori
25,お漬物 旬香,農家,昔ながらの無添加漬物。,自家栽培の野菜を、塩と糠だけで漬け込みました。乳酸発酵した古漬けの酸味は、ご飯のお供にもお酒のつまみにも最高です。,https://picsum.photos/seed/25/600/400,https://otsukemonoshunka.example.com,東京都新宿区西新宿2-8-1,https://facebook.com/otsukemonoshunka,https://instagram.com/otsukemonoshunka,https://twitter.com/otsukemonoshunka